A0_dB GBW_Hz G_dB f_Hz A_dB L_dB T_dB phase_T_deg
60 100000.0000 20 0.00000000 60.000000000 40.000000000 19.913572524 0.000000000
60 100000.0000 20 100.00000000 56.989700043 36.989700043 19.913146808 -0.567266410
60 100000.0000 20 10100.00000000 19.913146808 -0.086853192 16.903272568 -45.000000000
60 100000.0000 20 100000.00000000 -0.000004343 -20.000004343 -0.044077941 -84.232684003
60 100000.0000 20 1000000.00000000 -20.000000043 -40.000000043 -20.000443001 -89.421332303
80 100000.0000 20 0.00000000 80.000000000 60.000000000 19.991318450 0.000000000
80 100000.0000 20 10.00000000 76.989700043 56.989700043 19.991314116 -0.057238522
80 100000.0000 20 10010.00000000 19.991314116 -0.008685884 16.981018494 -45.000000000
80 100000.0000 20 100000.00000000 -0.000000043 -20.000000043 -0.043299779 -84.283734069
80 100000.0000 20 1000000.00000000 -20.000000000 -40.000000000 -20.000435142 -89.426488402
20 1000.0000 60 0.00000000 20.000000000 -40.000000000 19.913572524 0.000000000
20 1000.0000 60 100.00000000 16.989700043 -43.010299957 16.946271314 -44.714948722
20 1000.0000 60 101.00000000 16.946271314 -43.053728686 16.903272568 -45.000000000
20 1000.0000 60 1000.00000000 -0.043213738 -60.043213738 -0.044077941 -84.232684003
20 1000.0000 60 10000.00000000 -20.000434273 -80.000434273 -20.000443001 -89.421332303
100 100000000.0000 0 0.00000000 100.000000000 100.000000000 -0.000086858 0.000000000
100 100000000.0000 0 1000.00000000 96.989700043 96.989700043 -0.000086859 -0.000572952
100 100000000.0000 0 100001000.00000000 -0.000086859 -0.000086859 -3.010386815 -45.000000000
100 100000000.0000 0 100000000.00000000 -0.000000000 -0.000000000 -3.010343386 -44.999713523
100 100000000.0000 0 1000000000.00000000 -20.000000000 -20.000000000 -20.043214598 -84.289350134
40 100000.0000 40 0.00000000 40.000000000 0.000000000 33.979400087 0.000000000
40 100000.0000 40 1000.00000000 36.989700043 -3.010299957 33.010299957 -26.565051177
40 100000.0000 40 2000.00000000 33.010299957 -6.989700043 30.969100130 -45.000000000
40 100000.0000 40 100000.00000000 -0.000434273 -40.000434273 -0.001736831 -88.854237162
40 100000.0000 40 1000000.00000000 -20.000004343 -60.000004343 -20.000017372 -89.885408594
